preload	audio; video	 Hints how much buffering the media resource will likely need	 "none"; "metadata"; "auto"
radiogroup	command	 Name of group of commands to treat as a radio button group	Text
readonly	input; textarea	 Whether to allow the value to be edited by the user	Boolean attribute
rel	a; area; link	 Relationship between the document containing the hyperlink and the destination resource	Set of space-separated tokens*
required	input; select; textarea	 Whether the control is required for form submission	Boolean attribute
reversed	ol	 Number the list backwards	Boolean attribute
rows	textarea	 Number of lines to show	Valid non-negative integer greater than zero
rowspan	td; th	 Number of rows that the cell is to span	Valid non-negative integer
sandbox	iframe	 Security rules for nested content	Unordered set of unique space-separated tokens, ASCII case-insensitive, consisting of "allow-forms", "allow-popups", "allow-same-origin", "allow-scripts and "allow-top-navigation"
spellcheck	HTML elements	 Whether the element is to have its spelling and grammar checked	 "true"; "false"
scope	th	 Specifies which cells the header cell applies to	 "row"; "col"; "rowgroup"; "colgroup"
scoped	style	 Whether the styles apply to the entire document or just the parent subtree	Boolean attribute
seamless	iframe	 Whether to apply the document's styles to the nested content	Boolean attribute
selected	option	 Whether the option is selected by default	Boolean attribute
shape	area	 The kind of shape to be created in an image map	 "circle"; "default"; "poly"; "rect"
size	input; select	 Size of the control	Valid non-negative integer greater than zero
sizes	link	 Sizes of the icons (for rel="icon")	Unordered set of unique space-separated tokens, ASCII case-insensitive, consisting of sizes*
span	col; colgroup	 Number of columns spanned by the element	Valid non-negative integer greater than zero
src	audio; embed; iframe; img; input; script; source; track; video	 Address of the resource	Valid non-empty URL potentially surrounded by spaces
srcdoc	iframe	 A document to render in the iframe	 The source of an iframe srcdoc document*
srclang	track	 Language of the text track	 Valid BCP 47 language tag
start	ol	Ordinal value of the first item	Valid integer
step	input	 Granularity to be matched by the form control's value	Valid floating point number greater than zero, or "any"
style	HTML elements	 Presentational and formatting instructions	 CSS declarations*
tabindex	HTML elements	 Whether the element is focusable, and the relative order of the element for the purposes of sequential focus navigation	Valid integer
target	a; area	Browsing context for hyperlink navigation	Valid browsing context name or keyword
target	base	 Default browsing context for hyperlink navigation and form submission	Valid browsing context name or keyword
target	form	Browsing context for form submission	Valid browsing context name or keyword
title	HTML elements	 Advisory information for the element	Text
title	abbr; dfn	 Full term or expansion of abbreviation	Text
title	command	 Hint describing the command	Text
title	link	 Title of the link	Text
title	link; style	 Alternative style sheet set name	Text
translate	HTML elements	 Whether the element is to be translated when the page is localized	 "yes"; "no"
type	a; area; link	 Hint for the type of the referenced resource	Valid MIME type
type	button	 Type of button	 "submit"; "reset"; "button"
type	command	 Type of command	 "command"; "checkbox"; "radio"
type	embed; object; script; source; style	 Type of embedded resource	Valid MIME type
type	input	 Type of form control	input type keyword
type	menu	 Type of menu	 "context"; "toolbar"
typemustmatch	object	 Whether the type attribute and the Content-Type value need to match for the resource to be used	Boolean attribute
usemap	img; object	 Name of image map to use	Valid hash-name reference*
value	button; option	 Value to be used for form submission	Text
value	data	 Machine-readable value	Text*
value	input	 Value of the form control	 Varies*
value	li	Ordinal value of the list item	Valid integer
value	meter; progress	 Current value of the element	Valid floating point number
value	param	 Value of parameter	Text
width	canvas; embed; iframe; img; input; object; video	 Horizontal dimension	Valid non-negative integer
wrap	textarea	 How the value of the form control is to be wrapped for form submission	 "soft"; "hard"
