a	Hyperlink	flow; phrasing*; interactive	phrasing	transparent*	globals; href; target; download; ping; rel; media; hreflang; type	HTMLAnchorElement
fieldset	Group of form controls	flow; sectioning root; listed; form-associated	flow	legend*; flow	globals; disabled; form; name	HTMLFieldSetElement
figcaption	Caption for figure	none	figure	flow	globals	HTMLElement
figure	Figure with optional caption	flow; sectioning root	flow	figcaption*; flow	globals	HTMLElement
footer	Footer for a page or section	flow	flow	flow*	globals	HTMLElement
form	User-submittable form	flow	flow	flow*	globals; accept-charset; action; autocomplete; enctype; method; name; novalidate; target	HTMLFormElement
h1, h2, h3, h4, h5, h6	Section heading	flow; heading	hgroup; flow	phrasing	globals	HTMLHeadingElement
head	Container for document metadata	none	html	metadata content*	globals	HTMLHeadElement
header	Introductory or navigational aids for a page or section	flow	flow	flow*	globals	HTMLElement
hgroup	heading group	flow; heading	flow	One or more h1, h2, h3, h4, h5, and/or h6	globals	HTMLElement
hr	Thematic break	flow	flow	empty	globals	HTMLHRElement
html	Root element	none	none*	head*; body*	globals; manifest	HTMLHtmlElement
i	Alternate voice	flow; phrasing	phrasing	phrasing	globals	HTMLElement
iframe	Nested browsing context	flow; phrasing; embedded; interactive	phrasing	text*	globals; src; srcdoc; name; sandbox; seamless; width; height	HTMLIFrameElement
img	Image	flow; phrasing; embedded; interactive*	phrasing	empty	globals; alt; src; crossorigin; usemap; ismap; width; height	HTMLImageElement
input	Form control	flow; phrasing; interactive*; listed; labelable; submittable; resettable; form-associated	phrasing	empty	globals; accept; alt; autocomplete; autofocus; checked; dirname; disabled; form; formaction; formenctype; formmethod; formnovalidate; formtarget; height; list; max; maxlength; min; multiple; name; pattern; placeholder; readonly; required; size; src; step; type; value; width	HTMLInputElement
ins	An addition to the document	flow; phrasing*	phrasing	transparent	globals; cite; datetime	HTMLModElement
kbd	User input	flow; phrasing	phrasing	phrasing	globals	HTMLElement
keygen	Cryptographic key-pair generator form control	flow; phrasing; interactive; listed; labelable; submittable; resettable; form-associated	phrasing	empty	globals; autofocus; challenge; disabled; form; keytype; name	HTMLKeygenElement
label	Caption for a form control	flow; phrasing; interactive; form-associated	phrasing	phrasing*	globals; form; for	HTMLLabelElement
legend	Caption for fieldset	none	fieldset	phrasing	globals	HTMLLegendElement
li	List item	none	ol; ul; menu	flow	globals; value*	HTMLLIElement
link	Link metadata	metadata; flow*; phrasing*	head; noscript*; phrasing*	empty	globals; href; rel; media; hreflang; type; sizes	HTMLLinkElement
map	Image map	flow; phrasing*	phrasing	transparent; area*	globals; name	HTMLMapElement
mark	Highlight	flow; phrasing	phrasing	phrasing	globals	HTMLElement
menu	Menu of commands	flow; interactive*	flow	li*; flow	globals; type; label	HTMLMenuElement
meta	Text metadata	metadata; flow*; phrasing*	head; noscript*; phrasing*	empty	globals; name; http-equiv; content; charset	HTMLMetaElement
meter	Gauge	flow; phrasing; labelable	phrasing	phrasing*	globals; value; min; max; low; high; optimum; form	HTMLMeterElement
nav	Section with navigational links	flow; sectioning	flow	flow	globals	HTMLElement
noscript	Fallback content for script	metadata; flow; phrasing	head*; phrasing*	varies*	globals	HTMLElement
object	Image, nested browsing context, or plugin	flow; phrasing; embedded; interactive*; listed; submittable; form-associated	phrasing	param*; transparent	globals; data; type; typemustmatch; name; usemap; form; width; height	HTMLObjectElement
ol	Ordered list	flow	flow	li	globals; reversed; start	HTMLOListElement
optgroup	Group of options in a list box	none	select	option	globals; disabled; label	HTMLOptGroupElement
option	Option in a list box or combo box control	none	select; datalist; optgroup	text	globals; disabled; label; selected; value	HTMLOptionElement
output	Calculated output value	flow; phrasing; listed; labelable; resettable; form-associated	phrasing	phrasing	globals; for; form; name	HTMLOutputElement
p	Paragraph	flow	flow	phrasing	globals	HTMLParagraphElement
param	Parameter for object	none	object	empty	globals; name; value	HTMLParamElement
pre	Block of preformatted text	flow	flow	phrasing	globals	HTMLPreElement
progress	Progress bar	flow; phrasing; labelable	phrasing	phrasing*	globals; value; max; form	HTMLProgressElement
q	Quotation	flow; phrasing	phrasing	phrasing	globals; cite	HTMLQuoteElement
rp	Parenthesis for ruby annotation text	none	ruby	phrasing	globals	HTMLElement
rt	Ruby annotation text	none	ruby	phrasing	globals	HTMLElement
ruby	Ruby annotation(s)	flow; phrasing	phrasing	phrasing; rt; rp*	globals	HTMLElement
s	Inaccurate text	flow; phrasing	phrasing	phrasing	globals	HTMLElement
samp	Computer output	flow; phrasing	phrasing	phrasing	globals	HTMLElement
script	Embedded script	metadata; flow; phrasing	head; phrasing	script, data, or script documentation*	globals; src; async; defer; type; charset	HTMLScriptElement
section	Generic document or application section	flow; sectioning	flow	flow	globals	HTMLElement
select	List box control	flow; phrasing; interactive; listed; labelable; submittable; resettable; form-associated	phrasing	option, optgroup	globals; autofocus; disabled; form; multiple; name; required; size	HTMLSelectElement
small	Side comment	flow; phrasing	phrasing	phrasing	globals	HTMLElement
source	Media source for video or audio	none	video; audio	empty	globals; src; type; media	HTMLSourceElement
span	Generic phrasing container	flow; phrasing	phrasing	phrasing	globals	HTMLSpanElement
strong	Importance	flow; phrasing	phrasing	phrasing	globals	HTMLElement
style	Embedded styling information	metadata; flow	head; noscript*; flow*	varies*	globals; media; type; scoped	HTMLStyleElement
sub	Subscript	flow; phrasing	phrasing	phrasing	globals	HTMLElement
summary	Caption for details	none	details	phrasing	globals	HTMLElement
sup	Superscript	flow; phrasing	phrasing	phrasing	globals	HTMLElement
table	Table	flow	flow	caption*; colgroup*; thead*; tbody*; tfoot*; tr*	globals; border	HTMLTableElement
tbody	Group of rows in a table	none	table	tr	globals	HTMLTableSectionElement
td	Table cell	sectioning root	tr	flow	globals; colspan; rowspan; headers	HTMLTableDataCellElement
textarea	Multiline text field	flow; phrasing; interactive; listed; labelable; submittable; resettable; form-associated	phrasing	text	globals; autofocus; cols; dirname; disabled; form; maxlength; name; placeholder; readonly; required; rows; wrap	HTMLTextAreaElement
tfoot	Group of footer rows in a table	none	table	tr	globals	HTMLTableSectionElement
th	Table header cell	none	tr	flow*	globals; colspan; rowspan; headers; scope	HTMLTableHeaderCellElement
thead	Group of heading rows in a table	none	table	tr	globals	HTMLTableSectionElement
time	Machine-readable equivalent of date- or time-related data	flow; phrasing	phrasing	phrasing	globals; datetime	HTMLTimeElement
title	Document title	metadata	head	text	globals	HTMLTitleElement
tr	Table row	none	table; thead; tbody; tfoot	th*; td	globals	HTMLTableRowElement
track	Timed text track	none	audio; video	empty	globals; default; kind; label; src; srclang	HTMLTrackElement
u	Keywords	flow; phrasing	phrasing	phrasing	globals	HTMLElement
ul	List	flow	flow	li	globals	HTMLUListElement
var	Variable	flow; phrasing	phrasing	phrasing	globals	HTMLElement
video	Video player	flow; phrasing; embedded; interactive	phrasing	source*; transparent*	globals; src; crossorigin; poster; preload; autoplay; mediagroup; loop; muted; controls; width; height	HTMLVideoElement
wbr	Line breaking opportunity	flow; phrasing	phrasing	empty	globals	HTMLElement
